Dataset,Mixture_1,Mixture_2,Experimental_value
Bushdid,65,66,0.653846
Snitz 2,1,8,0.640420003
Snitz 1,24,17,0.74519231
Snitz 2,12,14,0.608783615
Snitz 1,49,45,0.67613636
Snitz 1,20,16,0.75480769
Snitz 1,47,39,0.5625
Bushdid,29,30,0.730769
Snitz 1,10,3,0.65104167
Bushdid,135,136,0.538462
Snitz 2,3,4,0.448164066
Bushdid,487,488,0.653846
Bushdid,243,244,0.461538
Bushdid,17,18,0.346154
Ravia,85,95,0.6719
Bushdid,457,458,0.807692
Snitz 2,9,14,0.455659939
Ravia,41,51,0.3542
Bushdid,51,52,0.307692
Bushdid,385,386,0.423077
Bushdid,19,20,0.538462
Bushdid,503,504,0.846154
Snitz 2,2,4,0.389479171
Bushdid,21,22,0.5
Bushdid,235,236,0.307692
Bushdid,483,484,0.5
Bushdid,7,8,0.538462
Bushdid,511,512,0.576923
Bushdid,119,120,0.730769
Snitz 2,7,13,0.560994228
Bushdid,455,456,0.5
Snitz 2,12,10,0.62904294
Bushdid,431,432,0.769231
Bushdid,133,134,0.423077
Ravia,7,17,0.4286
Ravia,44,54,0.3958
Bushdid,203,204,0.692308
Snitz 1,47,41,0.53409091
Bushdid,167,168,0.769231
Snitz 1,1,4,0.52604167
Bushdid,171,172,0.230769
Bushdid,233,234,0.692308
Ravia,30,40,0.9107
Bushdid,429,430,0.230769
Bushdid,139,140,0.576923
Snitz 2,6,7,0.728967095
